Hostname,IP Address,Status
CA-TEST-SECURITY-EDM.TOGOCOM.TG,Not found or domain doesn't exist,Not Resolved
prd01-okdn4.ws.togocom.tg,10.228.15.100; 10.228.11.205,Resolved
CA-RA-ANALYS-DB.TOGOCOM.INT,10.228.15.100; 10.228.14.67,Resolved
lo-lab_pgsql-10.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-CMS-EGW-03.togocom.tg,Not found or domain doesn't exist,Not Resolved
LO-PRD-UMCON006.momo.yas.tg,Not found or domain doesn't exist,Not Resolved
test-app01.yas.tg,Not found or domain doesn't exist,Not Resolved
LO-PRD-UMENG22.MOMO.TOGOCOM.TG,Not found or domain doesn't exist,Not Resolved
CA-SIMU-EIR-OTA01.TOGOCOM.TG,Not found or domain doesn't exist,Not Resolved
prp01-efk1.ws.togocom.tg,10.228.15.100; 10.228.19.19,Resolved
CA-PRD-YAS-DB02.momo.togocom.tg,10.228.15.100; 10.228.10.94,Resolved
CA-USMMNGT01.yas.tg,Not found or domain doesn't exist,Not Resolved
lo-uat-dim-app.momo.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-KPI-CO-WORKER-03.yas.tg,10.228.15.100; 10.232.13.36,Resolved
lo-prp-sync-app.togocom.tg,Not found or domain doesn't exist,Not Resolved
prp01-okdm2.ws.togocom.tg,10.228.15.100; 10.228.19.13,Resolved
Thomass-MacBook-Pro.local.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-CMGEDR.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-USMMNGT02.yas.tg,Not found or domain doesn't exist,Not Resolved
lo-edw-db02.dwh.togocom.tg,10.228.15.100; 10.228.11.242; 10.228.11.247,Resolved
LO-PRD-UMWEB3.TOGOCOM.TG,Not found or domain doesn't exist,Not Resolved
helpdesk.togocom.tg,10.228.15.100; 10.228.40.100,Resolved
lo-edw-gpl02.dwh.togocom.tg,Not found or domain doesn't exist,Not Resolved
LO-DEV-WSAPIG01.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
lo-prd-dda02.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-USMUAT02.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-KUBE-WORKER-NODE-03.yas.tg,Not found or domain doesn't exist,Not Resolved
ca-prd-umdbo005.yas.tg,Not found or domain doesn't exist,Not Resolved
lo-prd-umcon06.momo.togocom.tg,10.228.15.100; 10.228.10.203,Resolved
ca-centos-test.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-USMDBPROD01.yas.tg,Not found or domain doesn't exist,Not Resolved
LO-PRP-SUPER-ELK.togocom.tg,Not found or domain doesn't exist,Not Resolved
cbdb-datanode07.yas.tg,Not found or domain doesn't exist,Not Resolved
cbdb-datanode02.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-UMCON16.momo.togocom.tg,Not found or domain doesn't exist,Not Resolved
